,year,plant_id,cluster_id_6
0,2007,127,1
1,2007,298,5
5,2007,3439,1
6,2007,3452,4
7,2007,3453,4
8,2007,3454,4
9,2007,3460,5
10,2007,3464,4
12,2007,3468,4
14,2007,3470,0
15,2007,3490,4
16,2007,3491,4
17,2007,3492,4
18,2007,3494,4
19,2007,3497,5
20,2007,3502,2
21,2007,3504,4
23,2007,3507,2
25,2007,3548,4
26,2007,3549,2
28,2007,3559,2
30,2007,3574,3
31,2007,3576,2
44,2007,3601,4
46,2007,3611,4
47,2007,3612,4
48,2007,3613,2
51,2007,3628,2
53,2007,3631,3
55,2007,4266,2
56,2007,4937,2
57,2007,4939,4
59,2007,6136,1
62,2007,6147,0
63,2007,6178,1
64,2007,6179,5
65,2007,6181,1
66,2007,6183,1
67,2007,6243,2
72,2007,6648,1
73,2007,7030,1
74,2007,7097,1
76,2007,7325,1
78,2007,7900,3
79,2007,8063,4
145,2007,55091,5
151,2007,55139,3
159,2007,55215,3
160,2007,55223,3
200,2007,56350,3
216,2008,127,1
217,2008,298,5
222,2008,3439,2
224,2008,3452,4
225,2008,3453,4
226,2008,3454,4
227,2008,3460,5
228,2008,3464,4
230,2008,3468,4
231,2008,3469,4
232,2008,3470,0
233,2008,3490,4
234,2008,3491,4
235,2008,3492,4
236,2008,3494,4
237,2008,3497,5
238,2008,3502,2
239,2008,3504,4
241,2008,3507,2
243,2008,3548,4
244,2008,3559,2
246,2008,3574,2
247,2008,3576,2
260,2008,3601,4
262,2008,3611,4
263,2008,3612,4
264,2008,3613,2
267,2008,3628,2
269,2008,3631,2
271,2008,4266,2
272,2008,4937,2
273,2008,4939,4
275,2008,6136,1
278,2008,6147,5
279,2008,6178,1
280,2008,6179,5
281,2008,6181,1
282,2008,6183,1
283,2008,6243,2
288,2008,6648,1
289,2008,7030,1
290,2008,7097,1
292,2008,7325,1
294,2008,7900,3
295,2008,8063,4
359,2008,55091,3
365,2008,55139,3
373,2008,55215,3
374,2008,55223,3
413,2008,56350,3
450,2009,127,1
451,2009,298,5
455,2009,3439,2
456,2009,3443,3
457,2009,3452,4
458,2009,3453,4
460,2009,3460,4
461,2009,3464,4
463,2009,3468,4
464,2009,3469,4
465,2009,3470,0
466,2009,3490,4
467,2009,3491,4
468,2009,3492,4
469,2009,3494,4
470,2009,3497,5
471,2009,3502,2
472,2009,3504,4
474,2009,3507,2
476,2009,3548,4
477,2009,3559,2
480,2009,3576,2
493,2009,3601,4
495,2009,3611,4
496,2009,3612,4
497,2009,3613,2
500,2009,3628,2
502,2009,3631,2
504,2009,4266,2
505,2009,4937,2
506,2009,4939,2
508,2009,6136,1
511,2009,6147,5
512,2009,6178,1
513,2009,6179,5
514,2009,6181,1
515,2009,6183,1
516,2009,6243,2
521,2009,6648,1
522,2009,7030,1
523,2009,7097,1
525,2009,7325,1
527,2009,7900,3
528,2009,8063,4
591,2009,55091,3
597,2009,55139,3
605,2009,55215,3
606,2009,55223,3
645,2009,56350,3
695,2010,127,1
696,2010,298,5
700,2010,3439,2
701,2010,3441,3
702,2010,3443,3
703,2010,3452,4
704,2010,3453,4
705,2010,3460,4
706,2010,3464,4
707,2010,3468,4
708,2010,3469,4
709,2010,3470,0
710,2010,3490,4
711,2010,3491,4
712,2010,3492,4
713,2010,3494,4
714,2010,3497,5
716,2010,3504,4
718,2010,3507,2
720,2010,3548,4
721,2010,3559,2
724,2010,3576,2
737,2010,3601,4
739,2010,3611,4
740,2010,3612,4
743,2010,3628,2
745,2010,3631,2
747,2010,4266,2
748,2010,4937,2
749,2010,4939,3
751,2010,6136,1
754,2010,6147,0
755,2010,6178,1
756,2010,6179,5
757,2010,6180,5
758,2010,6181,5
759,2010,6183,1
760,2010,6243,2
766,2010,6648,1
767,2010,7030,1
768,2010,7097,5
770,2010,7325,1
772,2010,7900,3
773,2010,8063,4
834,2010,55091,3
840,2010,55139,3
848,2010,55215,3
849,2010,55223,3
888,2010,56350,3
910,2010,56674,2
948,2011,127,1
949,2011,298,5
953,2011,3439,2
954,2011,3441,3
955,2011,3443,3
956,2011,3452,4
957,2011,3453,4
958,2011,3460,5
959,2011,3464,4
960,2011,3468,4
961,2011,3469,4
962,2011,3470,0
963,2011,3490,4
964,2011,3491,4
965,2011,3492,4
966,2011,3494,4
967,2011,3497,5
968,2011,3504,4
969,2011,3507,2
970,2011,3548,4
971,2011,3559,2
974,2011,3576,2
987,2011,3601,2
989,2011,3611,4
990,2011,3612,4
994,2011,3628,4
996,2011,3631,2
998,2011,4266,2
999,2011,4937,2
1000,2011,4939,3
1002,2011,6136,1
1005,2011,6147,5
1006,2011,6178,1
1007,2011,6179,5
1008,2011,6180,5
1009,2011,6181,1
1010,2011,6183,1
1011,2011,6243,2
1017,2011,6648,1
1018,2011,7030,1
1019,2011,7097,5
1021,2011,7325,1
1023,2011,7900,3
1024,2011,8063,4
1082,2011,55091,3
1088,2011,55139,3
1096,2011,55215,3
1097,2011,55223,3
1137,2011,56350,3
1159,2011,56674,2
1205,2012,127,1
1206,2012,298,5
1210,2012,3439,2
1211,2012,3441,3
1212,2012,3443,3
1213,2012,3452,4
1214,2012,3453,4
1215,2012,3460,4
1216,2012,3464,4
1217,2012,3468,4
1218,2012,3469,4
1219,2012,3470,0
1220,2012,3490,4
1221,2012,3491,4
1222,2012,3492,4
1223,2012,3494,4
1224,2012,3497,5
1225,2012,3504,4
1226,2012,3507,2
1228,2012,3548,4
1229,2012,3559,2
1231,2012,3576,2
1244,2012,3601,2
1246,2012,3611,4
1247,2012,3612,4
1250,2012,3628,4
1252,2012,3631,2
1254,2012,4266,2
1255,2012,4937,2
1256,2012,4939,3
1258,2012,6136,1
1261,2012,6147,5
1262,2012,6178,1
1263,2012,6179,5
1264,2012,6180,5
1265,2012,6181,5
1266,2012,6183,1
1267,2012,6243,2
1273,2012,6648,1
1274,2012,7030,1
1275,2012,7097,5
1277,2012,7325,1
1279,2012,7900,3
1280,2012,8063,4
1339,2012,55091,3
1345,2012,55139,3
1353,2012,55215,3
1354,2012,55223,3
1395,2012,56350,3
1417,2012,56674,2
1479,2013,127,1
1480,2013,298,5
1484,2013,3439,2
1485,2013,3441,3
1486,2013,3443,3
1487,2013,3452,4
1488,2013,3453,4
1489,2013,3460,4
1490,2013,3464,4
1491,2013,3468,4
1492,2013,3469,4
1493,2013,3470,0
1494,2013,3490,4
1495,2013,3491,4
1496,2013,3492,4
1497,2013,3494,4
1498,2013,3497,5
1499,2013,3504,4
1500,2013,3507,2
1502,2013,3548,4
1503,2013,3559,2
1505,2013,3576,2
1518,2013,3601,2
1520,2013,3611,4
1521,2013,3612,4
1523,2013,3628,2
1525,2013,3631,2
1527,2013,4266,2
1529,2013,4939,3
1531,2013,6136,1
1534,2013,6147,5
1535,2013,6178,1
1536,2013,6179,5
1537,2013,6180,5
1538,2013,6181,1
1539,2013,6183,1
1540,2013,6243,2
1546,2013,6648,1
1547,2013,7030,1
1548,2013,7097,5
1550,2013,7325,1
1552,2013,7900,3
1553,2013,8063,2
1611,2013,55091,3
1617,2013,55139,3
1625,2013,55215,3
1626,2013,55223,3
1667,2013,56350,3
1690,2013,56674,2
1761,2014,127,1
1762,2014,298,5
1766,2014,3439,2
1767,2014,3441,3
1768,2014,3443,3
1769,2014,3452,4
1770,2014,3453,4
1771,2014,3460,5
1772,2014,3464,4
1774,2014,3469,4
1775,2014,3470,0
1776,2014,3490,4
1777,2014,3491,4
1778,2014,3492,4
1779,2014,3494,4
1780,2014,3497,5
1781,2014,3504,4
1782,2014,3507,2
1784,2014,3548,4
1785,2014,3559,2
1787,2014,3576,2
1800,2014,3601,2
1802,2014,3611,4
1803,2014,3612,4
1805,2014,3628,2
1807,2014,3631,2
1809,2014,4266,2
1810,2014,4939,3
1812,2014,6136,1
1815,2014,6147,5
1816,2014,6178,1
1817,2014,6179,5
1818,2014,6180,5
1819,2014,6181,1
1820,2014,6183,1
1821,2014,6243,2
1827,2014,6648,1
1828,2014,7030,1
1829,2014,7097,5
1831,2014,7325,1
1833,2014,7900,3
1834,2014,8063,2
1872,2014,52176,3
1885,2014,55015,3
1891,2014,55091,3
1897,2014,55139,3
1899,2014,55153,3
1905,2014,55215,3
1906,2014,55223,3
1947,2014,56350,3
1968,2014,56674,2
2052,2015,127,4
2053,2015,298,5
2057,2015,3439,2
2058,2015,3441,3
2059,2015,3443,3
2060,2015,3452,4
2061,2015,3453,4
2062,2015,3460,5
2063,2015,3464,4
2065,2015,3469,4
2066,2015,3470,0
2067,2015,3490,4
2068,2015,3491,4
2069,2015,3492,4
2070,2015,3494,4
2071,2015,3497,5
2072,2015,3504,4
2073,2015,3507,2
2074,2015,3548,4
2075,2015,3559,2
2077,2015,3576,2
2090,2015,3601,2
2092,2015,3611,4
2093,2015,3612,4
2095,2015,3628,2
2097,2015,3631,2
2099,2015,4266,2
2100,2015,4937,3
2101,2015,4939,3
2103,2015,6136,1
2106,2015,6147,5
2107,2015,6178,1
2108,2015,6179,5
2109,2015,6180,5
2110,2015,6181,4
2111,2015,6183,1
2112,2015,6243,2
2118,2015,6648,1
2119,2015,7030,1
2120,2015,7097,5
2122,2015,7325,1
2124,2015,7900,3
2125,2015,8063,2
2163,2015,52176,3
2174,2015,55015,3
2180,2015,55091,3
2186,2015,55139,3
2188,2015,55153,3
2194,2015,55215,3
2195,2015,55223,3
2235,2015,56350,3
2256,2015,56674,2
